cod_ibge;municipio
1100015;Alta Floresta D'Oeste
1100023;Ariquemes
1100031;Cabixi
1100049;Cacoal
1100056;Cerejeiras
1100064;Colorado do Oeste
1100072;Corumbiara
1100080;Costa Marques
1100098;Espigão D'Oeste
1100106;Guajará-Mirim
1100114;Jaru
1100122;Ji-Paraná
1100130;Machadinho D'Oeste
1100148;Nova Brasilândia D'Oeste
1100155;Ouro Preto do Oeste
1100189;Pimenta Bueno
1100205;Porto Velho
1100254;Presidente Médici
1100262;Rio Crespo
1100288;Rolim de Moura
1100296;Santa Luzia D'Oeste
1100304;Vilhena
1100320;São Miguel do Guaporé
1100338;Nova Mamoré
1100346;Alvorada D'Oeste
1100379;Alto Alegre dos Parecis
1100403;Alto Paraíso
1100452;Buritis
1100502;Novo Horizonte do Oeste
1100601;Cacaulândia
1100700;Campo Novo de Rondônia
1100809;Candeias do Jamari
1100908;Castanheiras
1100924;Chupinguaia
1100940;Cujubim
1101005;Governador Jorge Teixeira
1101104;Itapuã do Oeste
1101203;Ministro Andreazza
1101302;Mirante da Serra
1101401;Monte Negro
1101435;Nova União
1101450;Parecis
1101468;Pimenteiras do Oeste
1101476;Primavera de Rondônia
1101484;São Felipe D'Oeste
1101492;São Francisco do Guaporé
1101500;Seringueiras
1101559;Teixeirópolis
1101609;Theobroma
1101708;Urupá
1101757;Vale do Anari
1101807;Vale do Paraíso
1200013;Acrelândia
1200054;Assis Brasil
1200104;Brasiléia
1200138;Bujari
1200179;Capixaba
1200203;Cruzeiro do Sul
1200252;Epitaciolândia
1200302;Feijó
1200328;Jordão
1200336;Mâncio Lima
1200344;Manoel Urbano
1200351;Marechal Thaumaturgo
1200385;Plácido de Castro
1200393;Porto Walter
1200401;Rio Branco
1200427;Rodrigues Alves
1200435;Santa Rosa do Purus
1200450;Senador Guiomard
1200500;Sena Madureira
1200609;Tarauacá
1200708;Xapuri
1200807;Porto Acre
1300029;Alvarães
1300060;Amaturá
1300086;Anamã
1300102;Anori
1300144;Apuí
1300201;Atalaia do Norte
1300300;Autazes
1300409;Barcelos
1300508;Barreirinha
1300607;Benjamin Constant
1300631;Beruri
1300680;Boa Vista do Ramos
1300706;Boca do Acre
1300805;Borba
1300839;Caapiranga
1300904;Canutama
1301001;Carauari
1301100;Careiro
1301159;Careiro da Várzea
1301209;Coari
1301308;Codajás
1301407;Eirunepé
1301506;Envira
1301605;Fonte Boa
1301654;Guajará
1301704;Humaitá
1301803;Ipixuna
1301852;Iranduba
1301902;Itacoatiara
1301951;Itamarati
1302009;Itapiranga
1302108;Japurá
1302207;Juruá
1302306;Jutaí
1302405;Lábrea
1302504;Manacapuru
1302553;Manaquiri
1302603;Manaus
1302702;Manicoré
1302801;Maraã
1302900;Maués
1303007;Nhamundá
1303106;Nova Olinda do Norte
1303205;Novo Airão
1303304;Novo Aripuanã
1303403;Parintins
1303502;Pauini
1303536;Presidente Figueiredo
1303569;Rio Preto da Eva
1303601;Santa Isabel do Rio Negro
1303700;Santo Antônio do Içá
1303809;São Gabriel da Cachoeira
1303908;São Paulo de Olivença
1303957;São Sebastião do Uatumã
1304005;Silves
1304062;Tabatinga
1304104;Tapauá
1304203;Tefé
1304237;Tonantins
1304260;Uarini
1304302;Urucará
1304401;Urucurituba
1400027;Amajari
1400050;Alto Alegre
1400100;Boa Vista
1400159;Bonfim
1400175;Cantá
1400209;Caracaraí
1400233;Caroebe
1400282;Iracema
1400308;Mucajaí
1400407;Normandia
1400456;Pacaraima
1400472;Rorainópolis
1400506;São João da Baliza
1400605;São Luiz
1400704;Uiramutã
1500107;Abaetetuba
1500131;Abel Figueiredo
1500206;Acará
1500305;Afuá
1500347;Água Azul do Norte
1500404;Alenquer
1500503;Almeirim
1500602;Altamira
1500701;Anajás
1500800;Ananindeua
1500859;Anapu
1500909;Augusto Corrêa
1500958;Aurora do Pará
1501006;Aveiro
1501105;Bagre
1501204;Baião
1501253;Bannach
1501303;Barcarena
1501402;Belém
1501451;Belterra
1501501;Benevides
1501576;Bom Jesus do Tocantins
1501600;Bonito
1501709;Bragança
1501725;Brasil Novo
1501758;Brejo Grande do Araguaia
1501782;Breu Branco
1501808;Breves
1501907;Bujaru
1501956;Cachoeira do Piriá
1502004;Cachoeira do Arari
1502103;Cametá
1502152;Canaã dos Carajás
1502202;Capanema
1502301;Capitão Poço
1502400;Castanhal
1502509;Chaves
1502608;Colares
1502707;Conceição do Araguaia
1502756;Concórdia do Pará
1502764;Cumaru do Norte
1502772;Curionópolis
1502806;Curralinho
1502855;Curuá
1502905;Curuçá
1502939;dom Eliseu
1502954;Eldorado dos Carajás
1503002;Faro
1503044;Floresta do Araguaia
1503077;Garrafão do Norte
1503093;Goianésia do Pará
1503101;Gurupá
1503200;Igarapé-Açu
1503309;Igarapé-Miri
1503408;Inhangapi
1503457;Ipixuna do Pará
1503507;Irituia
1503606;Itaituba
1503705;Itupiranga
1503754;Jacareacanga
1503804;Jacundá
1503903;Juruti
1504000;Limoeiro do Ajuru
1504059;Mãe do Rio
1504109;Magalhães Barata
1504208;Marabá
1504307;Maracanã
1504406;Marapanim
1504422;Marituba
1504455;Medicilândia
1504505;Melgaço
1504604;Mocajuba
1504703;Moju
1504752;Mojuí dos Campos
1504802;Monte Alegre
1504901;Muaná
1504950;Nova Esperança do Piriá
1504976;Nova Ipixuna
1505007;Nova Timboteua
1505031;Novo Progresso
1505064;Novo Repartimento
1505106;Óbidos
1505205;Oeiras do Pará
1505304;Oriximiná
1505403;Ourém
1505437;Ourilândia do Norte
1505486;Pacajá
1505494;Palestina do Pará
1505502;Paragominas
1505536;Parauapebas
1505551;Pau D'Arco
1505601;Peixe-Boi
1505635;Piçarra
1505650;Placas
1505700;Ponta de Pedras
1505809;Portel
1505908;Porto de Moz
1506005;Prainha
1506104;Primavera
1506112;Quatipuru
1506138;Redenção
1506161;Rio Maria
1506187;Rondon do Pará
1506195;Rurópolis
1506203;Salinópolis
1506302;Salvaterra
1506351;Santa Bárbara do Pará
1506401;Santa Cruz do Arari
1506500;Santa Isabel do Pará
1506559;Santa Luzia do Pará
1506583;Santa Maria das Barreiras
1506609;Santa Maria do Pará
1506708;Santana do Araguaia
1506807;Santarém
1506906;Santarém Novo
1507003;Santo Antônio do Tauá
1507102;São Caetano de Odivelas
1507151;São domingos do Araguaia
1507201;São domingos do Capim
1507300;São Félix do Xingu
1507409;São Francisco do Pará
1507458;São Geraldo do Araguaia
1507466;São João da Ponta
1507474;São João de Pirabas
1507508;São João do Araguaia
1507607;São Miguel do Guamá
1507706;São Sebastião da Boa Vista
1507755;Sapucaia
1507805;Senador José Porfírio
1507904;Soure
1507953;Tailândia
1507961;Terra Alta
1507979;Terra Santa
1508001;Tomé-Açu
1508035;Tracuateua
1508050;Trairão
1508084;Tucumã
1508100;Tucuruí
1508126;Ulianópolis
1508159;Uruará
1508209;Vigia
1508308;Viseu
1508357;Vitória do Xingu
1508407;Xinguara
1600055;Serra do Navio
1600105;Amapá
1600154;Pedra Branca do Amapari
1600204;Calçoene
1600212;Cutias
1600238;Ferreira Gomes
1600253;Itaubal
1600279;Laranjal do Jari
1600303;Macapá
1600402;Mazagão
1600501;Oiapoque
1600535;Porto Grande
1600550;Pracuúba
1600600;Santana
1600709;Tartarugalzinho
1600808;Vitória do Jari
1700251;Abreulândia
1700301;Aguiarnópolis
1700350;Aliança do Tocantins
1700400;Almas
1700707;Alvorada
1701002;Ananás
1701051;Angico
1701101;Aparecida do Rio Negro
1701309;Aragominas
1701903;Araguacema
1702000;Araguaçu
1702109;Araguaína
1702158;Araguanã
1702208;Araguatins
1702307;Arapoema
1702406;Arraias
1702554;Augustinópolis
1702703;Aurora do Tocantins
1702901;Axixá do Tocantins
1703008;Babaçulândia
1703057;Bandeirantes do Tocantins
1703073;Barra do Ouro
1703107;Barrolândia
1703206;Bernardo Sayão
1703305;Bom Jesus do Tocantins
1703602;Brasilândia do Tocantins
1703701;Brejinho de Nazaré
1703800;Buriti do Tocantins
1703826;Cachoeirinha
1703842;Campos Lindos
1703867;Cariri do Tocantins
1703883;Carmolândia
1703891;Carrasco Bonito
1703909;Caseara
1704105;Centenário
1704600;Chapada de Areia
1705102;Chapada da Natividade
1705508;Colinas do Tocantins
1705557;Combinado
1705607;Conceição do Tocantins
1706001;Couto Magalhães
1706100;Cristalândia
1706258;Crixás do Tocantins
1706506;Darcinópolis
1707009;Dianópolis
1707108;Divinópolis do Tocantins
1707207;dois Irmãos do Tocantins
1707306;Dueré
1707405;Esperantina
1707553;Fátima
1707652;Figueirópolis
1707702;Filadélfia
1708205;Formoso do Araguaia
1708254;Fortaleza do Tabocão
1708304;Goianorte
1709005;Goiatins
1709302;Guaraí
1709500;Gurupi
1709807;Ipueiras
1710508;Itacajá
1710706;Itaguatins
1710904;Itapiratins
1711100;Itaporã do Tocantins
1711506;Jaú do Tocantins
1711803;Juarina
1711902;Lagoa da Confusão
1711951;Lagoa do Tocantins
1712009;Lajeado
1712157;Lavandeira
1712405;Lizarda
1712454;Luzinópolis
1712504;Marianópolis do Tocantins
1712702;Mateiros
1712801;Maurilândia do Tocantins
1713205;Miracema do Tocantins
1713304;Miranorte
1713601;Monte do Carmo
1713700;Monte Santo do Tocantins
1713809;Palmeiras do Tocantins
1713957;Muricilândia
1714203;Natividade
1714302;Nazaré
1714880;Nova Olinda
1715002;Nova Rosalândia
1715101;Novo Acordo
1715150;Novo Alegre
1715259;Novo Jardim
1715507;Oliveira de Fátima
1715705;Palmeirante
1715754;Palmeirópolis
1716109;Paraíso do Tocantins
1716208;Paranã
1716307;Pau D'Arco
1716505;Pedro Afonso
1716604;Peixe
1716653;Pequizeiro
1716703;Colméia
1717008;Pindorama do Tocantins
1717206;Piraquê
1717503;Pium
1717800;Ponte Alta do Bom Jesus
1717909;Ponte Alta do Tocantins
1718006;Porto Alegre do Tocantins
1718204;Porto Nacional
1718303;Praia Norte
1718402;Presidente Kennedy
1718451;Pugmil
1718501;Recursolândia
1718550;Riachinho
1718659;Rio da Conceição
1718709;Rio dos Bois
1718758;Rio Sono
1718808;Sampaio
1718840;Sandolândia
1718865;Santa Fé do Araguaia
1718881;Santa Maria do Tocantins
1718899;Santa Rita do Tocantins
1718907;Santa Rosa do Tocantins
1719004;Santa Tereza do Tocantins
1720002;Santa Terezinha do Tocantins
1720101;São Bento do Tocantins
1720150;São Félix do Tocantins
1720200;São Miguel do Tocantins
1720259;São Salvador do Tocantins
1720309;São Sebastião do Tocantins
1720499;São Valério
1720655;Silvanópolis
1720804;Sítio Novo do Tocantins
1720853;Sucupira
1720903;Taguatinga
1720937;Taipas do Tocantins
1720978;Talismã
1721000;Palmas
1721109;Tocantínia
1721208;Tocantinópolis
1721257;Tupirama
1721307;Tupiratins
1722081;Wanderlândia
1722107;Xambioá
2100055;Açailândia
2100204;Alcântara
2100402;Altamira do Maranhão
2100436;Alto Alegre do Maranhão
2100477;Alto Alegre do Pindaré
2100501;Alto Parnaíba
2100550;Amapá do Maranhão
2100600;Amarante do Maranhão
2100709;Anajatuba
2100832;Apicum-Açu
2100873;Araguanã
2100956;Arame
2101004;Arari
2101103;Axixá
2101202;Bacabal
2101251;Bacabeira
2101301;Bacuri
2101350;Bacurituba
2101400;Balsas
2101608;Barra do Corda
2101772;Bela Vista do Maranhão
2101806;Benedito Leite
2101905;Bequimão
2101939;Bernardo do Mearim
2101970;Boa Vista do Gurupi
2102002;Bom Jardim
2102036;Bom Jesus das Selvas
2102077;Bom Lugar
2102150;Brejo de Areia
2102309;Buriti Bravo
2102325;Buriticupu
2102358;Buritirana
2102374;Cachoeira Grande
2102408;Cajapió
2102507;Cajari
2102556;Campestre do Maranhão
2102606;Cândido Mendes
2102705;Cantanhede
2102754;Capinzal do Norte
2102804;Carolina
2102903;Carutapera
2103109;Cedral
2103125;Central do Maranhão
2103158;Centro do Guilherme
2103174;Centro Novo do Maranhão
2103257;Cidelândia
2103307;Codó
2103505;Colinas
2103554;Conceição do Lago-Açu
2103604;Coroatá
2103703;Cururupu
2103752;Davinópolis
2103802;dom Pedro
2104008;Esperantinópolis
2104057;Estreito
2104073;Feira Nova do Maranhão
2104081;Fernando Falcão
2104099;Formosa da Serra Negra
2104107;Fortaleza dos Nogueiras
2104206;Fortuna
2104305;Godofredo Viana
2104404;Gonçalves Dias
2104503;Governador Archer
2104552;Governador Edison Lobão
2104602;Governador Eugênio Barros
2104628;Governador Luiz Rocha
2104651;Governador Newton Bello
2104677;Governador Nunes Freire
2104701;Graça Aranha
2104800;Grajaú
2104909;Guimarães
2105104;Icatu
2105153;Igarapé do Meio
2105203;Igarapé Grande
2105302;Imperatriz
2105351;Itaipava do Grajaú
2105401;Itapecuru Mirim
2105427;Itinga do Maranhão
2105450;Jatobá
2105476;Jenipapo dos Vieiras
2105500;João Lisboa
2105609;Joselândia
2105658;Junco do Maranhão
2105708;Lago da Pedra
2105807;Lago do Junco
2105906;Lago Verde
2105948;Lago dos Rodrigues
2105963;Lagoa Grande do Maranhão
2105989;Lajeado Novo
2106003;Lima Campos
2106102;Loreto
2106201;Luís domingues
2106326;Maracaçumé
2106359;Marajá do Sena
2106375;Maranhãozinho
2106508;Matinha
2106631;Matões do Norte
2106706;Mirador
2106755;Miranda do Norte
2106805;Mirinzal
2106904;Monção
2107001;Montes Altos
2107100;Morros
2107258;Nova Colinas
2107308;Nova Iorque
2107357;Nova Olinda do Maranhão
2107407;Olho D'água das Cunhãs
2107456;Olinda Nova do Maranhão
2107506;Paço do Lumiar
2107605;Palmeirândia
2107704;Paraibano
2108009;Pastos Bons
2108108;Paulo Ramos
2108207;Pedreiras
2108256;Pedro do Rosário
2108306;Penalva
2108405;Peri Mirim
2108454;Peritoró
2108504;Pindaré-Mirim
2108603;Pinheiro
2108702;Pio XII
2108801;Pirapemas
2108900;Poção de Pedras
2109007;Porto Franco
2109056;Porto Rico do Maranhão
2109106;Presidente Dutra
2109205;Presidente Juscelino
2109239;Presidente Médici
2109270;Presidente Sarney
2109304;Presidente Vargas
2109452;Raposa
2109502;Riachão
2109551;Ribamar Fiquene
2109601;Rosário
2109700;Sambaíba
2109759;Santa Filomena do Maranhão
2109809;Santa Helena
2109908;Santa Inês
2110005;Santa Luzia
2110039;Santa Luzia do Paruá
2110203;Santa Rita
2110302;Santo Antônio dos Lopes
2110500;São Bento
2110658;São domingos do Azeitão
2110708;São domingos do Maranhão
2110807;São Félix de Balsas
2110856;São Francisco do Brejão
2111003;São João Batista
2111029;São João do Carú
2111052;São João do Paraíso
2111078;São João do Soter
2111201;São José de Ribamar
2111250;São José dos Basílios
2111300;São Luís
2111409;São Luís Gonzaga do Maranhão
2111508;São Mateus do Maranhão
2111532;São Pedro da Água Branca
2111573;São Pedro dos Crentes
2111607;São Raimundo das Mangabeiras
2111631;São Raimundo do doca Bezerra
2111672;São Roberto
2111706;São Vicente Ferrer
2111722;Satubinha
2111748;Senador Alexandre Costa
2111763;Senador La Rocque
2111789;Serrano do Maranhão
2111805;Sítio Novo
2111904;Sucupira do Norte
2112001;Tasso Fragoso
2112100;Timbiras
2112233;Trizidela do Vale
2112274;Tufilândia
2112308;Tuntum
2112407;Turiaçu
2112456;Turilândia
2112704;Vargem Grande
2112803;Viana
2112852;Vila Nova dos Martírios
2112902;Vitória do Mearim
2113009;Vitorino Freire
2114007;Zé doca
5100102;Acorizal
5100201;Água Boa
5100250;Alta Floresta
5100300;Alto Araguaia
5100359;Alto Boa Vista
5100409;Alto Garças
5100508;Alto Paraguai
5100607;Alto Taquari
5100805;Apiacás
5101001;Araguaiana
5101209;Araguainha
5101258;Araputanga
5101308;Arenápolis
5101407;Aripuanã
5101605;Barão de Melgaço
5101704;Barra do Bugres
5101803;Barra do Garças
5101852;Bom Jesus do Araguaia
5101902;Brasnorte
5102504;Cáceres
5102603;Campinápolis
5102637;Campo Novo do Parecis
5102678;Campo Verde
5102686;Campos de Júlio
5102694;Canabrava do Norte
5102702;Canarana
5102793;Carlinda
5102850;Castanheira
5103007;Chapada dos Guimarães
5103056;Cláudia
5103106;Cocalinho
5103205;Colíder
5103254;Colniza
5103304;Comodoro
5103353;Confresa
5103361;Conquista D'Oeste
5103379;Cotriguaçu
5103403;Cuiabá
5103437;Curvelândia
5103452;Denise
5103502;Diamantino
5103601;dom Aquino
5103700;Feliz Natal
5103809;Figueirópolis D'Oeste
5103858;Gaúcha do Norte
5103908;General Carneiro
5103957;Glória D'Oeste
5104104;Guarantã do Norte
5104203;Guiratinga
5104500;Indiavaí
5104526;Ipiranga do Norte
5104542;Itanhangá
5104559;Itaúba
5104609;Itiquira
5104807;Jaciara
5104906;Jangada
5105002;Jauru
5105101;Juara
5105150;Juína
5105176;Juruena
5105200;Juscimeira
5105234;Lambari D'Oeste
5105259;Lucas do Rio Verde
5105309;Luciara
5105507;Vila Bela da Santíssima Trindade
5105580;Marcelândia
5105606;Matupá
5105622;Mirassol D'Oeste
5105903;Nobres
5106000;Nortelândia
5106109;Nossa Senhora do Livramento
5106158;Nova Bandeirantes
5106174;Nova Nazaré
5106182;Nova Lacerda
5106190;Nova Santa Helena
5106208;Nova Brasilândia
5106216;Nova Canaã do Norte
5106224;Nova Mutum
5106232;Nova Olímpia
5106240;Nova Ubiratã
5106257;Nova Xavantina
5106265;Novo Mundo
5106273;Novo Horizonte do Norte
5106281;Novo São Joaquim
5106299;Paranaíta
5106307;Paranatinga
5106315;Novo Santo Antônio
5106372;Pedra Preta
5106422;Peixoto de Azevedo
5106455;Planalto da Serra
5106505;Poconé
5106653;Pontal do Araguaia
5106703;Ponte Branca
5106752;Pontes E Lacerda
5106778;Porto Alegre do Norte
5106802;Porto dos Gaúchos
5106828;Porto Esperidião
5106851;Porto Estrela
5107008;Poxoréo
5107040;Primavera do Leste
5107065;Querência
5107107;São José dos Quatro Marcos
5107156;Reserva do Cabaçal
5107180;Ribeirão Cascalheira
5107198;Ribeirãozinho
5107206;Rio Branco
5107248;Santa Carmem
5107263;Santo Afonso
5107297;São José do Povo
5107305;São José do Rio Claro
5107354;São José do Xingu
5107404;São Pedro da Cipa
5107578;Rondolândia
5107602;Rondonópolis
5107701;Rosário Oeste
5107743;Santa Cruz do Xingu
5107750;Salto do Céu
5107768;Santa Rita do Trivelato
5107776;Santa Terezinha
5107792;Santo Antônio do Leste
5107800;Santo Antônio do Leverger
5107859;São Félix do Araguaia
5107875;Sapezal
5107883;Serra Nova dourada
5107909;Sinop
5107925;Sorriso
5107941;Tabaporã
5107958;Tangará da Serra
5108006;Tapurah
5108055;Terra Nova do Norte
5108105;Tesouro
5108204;Torixoréu
5108303;União do Sul
5108352;Vale de São domingos
5108402;Várzea Grande
5108501;Vera
5108600;Vila Rica
5108808;Nova Guarita
5108857;Nova Marilândia
5108907;Nova Maringá
5108956;Nova Monte Verde
